soc_code,accountability_responsibility,creativity_originality,physical_manual,social_perceptiveness,tool_technology,writing_intensity,norm_writing_intensity,norm_social_perceptiveness,norm_physical_manual,norm_creativity_originality,norm_tool_technology,norm_accountability_responsibility
29-2036,4.325,3.3366666666666664,1.8972727272727274,2.8939999999999997,2.893333333333333,3.7025,0.7771317829457365,0.32945736434108525,0.3087855297157623,0.7235142118863049,0.9218346253229974,0.9444444444444444
29-2051,3.295,3.2566666666666664,2.459090909090909,3.534,2.0833333333333335,3.3525,0.5335917312661499,0.7196382428940569,0.5012919896640827,0.6757105943152455,0.3268733850129199,0.4392764857881137
29-2052,4.0,2.3866666666666667,2.4527272727272726,3.582,2.473333333333333,3.25,0.479328165374677,0.7448320413436692,0.4974160206718346,0.15633074935400518,0.6563307493540051,0.851421188630491
29-2053,2.575,2.8366666666666664,2.2818181818181817,3.658,2.17,3.41,0.562015503875969,0.7816537467700259,0.43023255813953487,0.3979328165374677,0.3830749354005168,0.06201550387596899
29-2055,4.385,2.81,3.1018181818181816,3.364,1.95,2.82,0.27260981912144705,0.6291989664082688,0.8113695090439277,0.3766149870801034,0.2655038759689923,0.9593023255813954
29-2056,3.985,2.84,3.0645454545454545,3.7660000000000005,2.3033333333333332,3.455,0.5988372093023255,0.8307493540051679,0.7932816537467701,0.4005167958656331,0.47416020671834624,0.8443152454780362
29-2057,3.615,2.2566666666666664,2.3854545454545453,3.8200000000000003,2.1966666666666668,3.3575,0.5368217054263565,0.8578811369509044,0.4728682170542636,0.1078811369509044,0.4011627906976744,0.6731266149870802
29-2061,3.815,2.81,2.708181818181818,3.678,2.2566666666666664,3.4924999999999997,0.6201550387596899,0.7939276485788114,0.6078811369509044,0.3766149870801034,0.43281653746770027,0.7616279069767442
29-2081,3.085,3.143333333333333,2.5054545454545454,4.0840000000000005,2.56,3.9074999999999998,0.9263565891472868,0.9405684754521964,0.5155038759689923,0.6130490956072352,0.7564599483204134,0.3016795865633075
29-2091,3.355,3.473333333333333,2.74,4.064,2.7999999999999994,4.0575,0.9857881136950905,0.9354005167958657,0.6253229974160207,0.7926356589147286,0.898578811369509,0.48643410852713176
29-2092,3.34,2.7466666666666666,2.4845454545454544,4.018,2.5166666666666666,3.4050000000000002,0.5607235142118863,0.9179586563307494,0.5109819121447028,0.33204134366925064,0.6950904392764858,0.4689922480620155
29-2099,3.4466666666666668,2.651111111111111,2.3566666666666665,3.9566666666666666,2.511111111111111,3.6441666666666666,0.7403100775193798,0.8927648578811369,0.46382428940568476,0.29844961240310075,0.6925064599483204,0.5452196382428941
29-9091,4.09,3.4066666666666667,2.599090909090909,3.7299999999999995,2.11,3.87,0.900516795865633,0.8165374677002584,0.5594315245478036,0.7583979328165374,0.34108527131782945,0.8843669250645995
29-9092,3.5,3.0066666666666664,1.1836363636363636,4.096,2.38,3.925,0.9366925064599483,0.9457364341085271,0.014211886304909561,0.5161498708010336,0.5613695090439277,0.5833333333333334
29-9093,3.875,3.0366666666666666,3.152727272727273,3.8619999999999997,2.216666666666667,3.1775,0.4437984496124031,0.8682170542635659,0.8339793281653747,0.5445736434108527,0.4108527131782946,0.8042635658914729
29-9099,4.34,3.063333333333333,2.4563636363636365,4.24,2.2466666666666666,3.58,0.686046511627907,0.9832041343669251,0.5,0.5613695090439277,0.42700258397932817,0.9509043927648578
31-1121,3.8200000000000003,3.0966666666666662,2.5954545454545457,3.5119999999999996,1.3866666666666667,3.1574999999999998,0.42764857881136953,0.7028423772609819,0.5568475452196382,0.5872093023255814,0.0562015503875969,0.7655038759689923
31-1122,3.9050000000000002,2.8033333333333332,2.6863636363636365,4.238,1.9466666666666665,3.1799999999999997,0.44638242894056845,0.9819121447028424,0.5917312661498708,0.3708010335917313,0.26356589147286824,0.8191214470284238
31-1131,3.565,2.4566666666666666,2.694545454545455,3.444,1.86,3.1025,0.39728682170542634,0.667312661498708,0.599483204134367,0.1892764857881137,0.2351421188630491,0.6401808785529716
31-1132,4.0,2.1166666666666667,2.8572727272727274,3.344,1.5233333333333334,2.5324999999999998,0.15503875968992248,0.6182170542635659,0.6847545219638242,0.05297157622739018,0.09496124031007752,0.851421188630491
31-1133,3.71,3.1033333333333335,2.4845454545454544,3.522,1.9000000000000001,3.45,0.5956072351421189,0.710594315245478,0.5109819121447028,0.5904392764857881,0.24935400516795866,0.7170542635658915
31-2011,3.51,3.5199999999999996,2.7436363636363637,4.076,2.3666666666666667,3.505,0.6317829457364341,0.937984496124031,0.6291989664082688,0.8178294573643411,0.5490956072351422,0.5891472868217055
31-2012,3.59,2.9633333333333334,2.9,4.132,2.1733333333333333,3.45,0.5956072351421189,0.958656330749354,0.6976744186046512,0.47997416020671835,0.3856589147286822,0.6543927648578811
31-2021,4.23,3.09,2.9863636363636363,4.218,2.59,3.4625,0.6027131782945736,0.9780361757105943,0.7461240310077519,0.5807493540051679,0.7764857881136951,0.9231266149870802
31-2022,3.37,2.6266666666666665,2.6481818181818184,3.968,2.38,3.15,0.42377260981912146,0.8972868217054264,0.5762273901808785,0.2810077519379845,0.5613695090439277,0.4941860465116279
31-9011,3.175,2.8966666666666665,2.831818181818182,3.9219999999999997,1.6733333333333331,3.3,0.5077519379844961,0.8875968992248062,0.6692506459948321,0.44315245478036175,0.15762273901808785,0.35594315245478036
