area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
11460,"Ann Arbor, MI",4,15-1251,Computer Programmers,370.0,82510.0,39.67,80560.0,38.73,38630.0,58260.0,107900.0,129170.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
11540,"Appleton, WI",4,15-1251,Computer Programmers,90.0,99020.0,47.61,99720.0,47.94,59030.0,76250.0,115500.0,150380.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
11700,"Asheville, NC",4,15-1251,Computer Programmers,40.0,95060.0,45.7,79250.0,38.1,53030.0,57940.0,132340.0,151030.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12020,"Athens-Clarke County, GA",4,15-1251,Computer Programmers,40.0,74950.0,36.03,63700.0,30.62,55170.0,59340.0,83900.0,109550.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12060,"Atlanta-Sandy Springs-Roswell, GA",4,15-1251,Computer Programmers,1390.0,103170.0,49.6,97970.0,47.1,63550.0,76700.0,124980.0,144900.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12100,"Atlantic City-Hammonton, NJ",4,15-1251,Computer Programmers,40.0,85070.0,40.9,82670.0,39.75,48230.0,55960.0,102190.0,135810.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12260,"Augusta-Richmond County, GA-SC",4,15-1251,Computer Programmers,50.0,93940.0,45.16,86640.0,41.65,55510.0,70880.0,111630.0,127520.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12420,"Austin-Round Rock-San Marcos, TX",4,15-1251,Computer Programmers,1160.0,95310.0,45.82,84140.0,40.45,53970.0,63510.0,130250.0,146080.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12540,"Bakersfield-Delano, CA",4,15-1251,Computer Programmers,100.0,94560.0,45.46,82680.0,39.75,60620.0,71580.0,110140.0,135000.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12580,"Baltimore-Columbia-Towson, MD",4,15-1251,Computer Programmers,910.0,109940.0,52.85,103430.0,49.72,66450.0,80670.0,128610.0,165850.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12620,"Bangor, ME",4,15-1251,Computer Programmers,50.0,86070.0,41.38,81610.0,39.24,47330.0,73520.0,100810.0,119410.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
