occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,accountability_responsibility,substitution_score,defense_score,net_risk,net_risk_calibrated,net_risk_uncalibrated,net_risk_source,bottleneck_B,demand_elasticity_eps,m_comp,m_comp_raw
11-9071,0.6744186046511628,0.6944444444444444,0.3055555555555556,0.5232558139534884,0.6091731266149871,0.83656330749354,0.6417958656330749,0.5077519379844961,0.3251430524253791,0.3251430524253791,0.13404392764857875,calibrated,0.1527777777777778,0.7,0.2,0.5930555555555556
11-9072,0.7312661498708011,0.9476744186046512,0.3578811369509044,0.928940568475452,0.4980620155038759,0.6492248062015504,0.6146640826873385,0.7448320413436692,0.1541845728387708,0.1541845728387708,-0.13016795865633068,calibrated,0.1789405684754522,0.7,0.2,0.5747416020671835
11-9081,0.8688630490956072,0.9263565891472868,0.3888888888888889,0.8869509043927648,0.7764857881136951,0.6356589147286822,0.8226744186046511,0.734065460809647,0.2455774971569635,0.2455774971569635,0.0886089577950041,calibrated,0.19444444444444445,0.7,0.2,0.5638888888888889
11-9111,0.9780361757105944,0.8546511627906976,0.1808785529715762,0.7512919896640827,0.915374677002584,0.2383720930232558,0.9467054263565893,0.5956072351421189,0.6434213135346118,0.6434213135346118,0.3510981912144704,calibrated,0.0904392764857881,0.7,0.2,0.6366925064599483
11-9121,0.8798449612403101,0.5943152454780362,0.2028423772609819,0.7015503875968992,0.8591731266149871,0.3863049095607235,0.8695090439276486,0.4995693367786391,0.6194780931130331,0.6194780931130331,0.36993970714900953,calibrated,0.10142118863049095,0.7,0.2,0.6290051679586562
11-9131,0.7797157622739018,0.7545219638242894,0.2881136950904392,0.5807493540051679,0.8158914728682171,0.4341085271317829,0.7978036175710594,0.5411283376399655,0.4443290497143767,0.4443290497143767,0.25667527993109396,calibrated,0.1440568475452196,0.7,0.2,0.5991602067183462
11-9141,0.6976744186046512,0.7015503875968992,0.0956072351421188,0.5406976744186046,0.4916020671834625,0.4599483204134367,0.5946382428940569,0.4459517657192076,0.589408380817063,0.589408380817063,0.14868647717484929,calibrated,0.0478036175710594,0.7,0.2,0.6665374677002583
11-9151,0.9250645994832042,0.9031007751937984,0.2170542635658914,0.917312661498708,0.7971576227390181,0.6989664082687338,0.8611111111111112,0.6791559000861326,0.5231329551298027,0.5231329551298027,0.18195521102497858,calibrated,0.1085271317829457,0.7,0.2,0.624031007751938
11-9161,0.9715762273901808,0.9702842377260982,0.3268733850129199,0.9231266149870802,0.6266149870801033,0.3242894056847545,0.7990956072351421,0.7400947459086994,0.2614049368778413,0.2614049368778413,0.059000861326442666,calibrated,0.16343669250645995,0.7,0.2,0.585594315245478
11-9171,0.8656330749354005,0.9935400516795866,0.4315245478036176,0.7655038759689923,0.6524547803617571,0.8552971576227391,0.7590439276485788,0.7301894918173989,0.1098375187645167,0.1098375187645167,0.02885443583117986,calibrated,0.2157622739018088,0.7,0.2,0.5489664082687338
11-9179,0.7054263565891473,0.8850129198966409,0.4198966408268734,0.8217054263565892,0.6156330749354005,0.233204134366925,0.6605297157622739,0.7088716623600345,0.1252615004111384,0.1252615004111384,-0.04834194659776059,calibrated,0.2099483204134367,0.7,0.2,0.5530361757105943
11-9199,0.874031007751938,0.7299741602067183,0.268733850129199,0.6782945736434108,0.7816537467700259,0.5981912144702842,0.827842377260982,0.5590008613264428,0.4609080207079143,0.4609080207079143,0.2688415159345392,calibrated,0.1343669250645995,0.7,0.2,0.6059431524547804
13-1011,0.4935400516795866,0.6266149870801033,0.0555555555555555,0.7835917312661499,0.3972868217054263,0.5523255813953488,0.44541343669250644,0.4885874246339362,0.6156294584438673,0.6156294584438673,-0.04317398794142974,calibrated,0.02777777777777775,0.7,0.2,0.6805555555555555
